STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD,link
665,IJC,CTCP Phát triển Hạ tầng Kỹ thuật,Phát triển bất động sản,HOSE,217097323,https://finance.vietstock.vn/IJC-ctcp-phat-trien-ha-tang-ky-thuat.htm
666,ILA,CTCP ILA,Kho bãi,UPCoM,18529939,https://finance.vietstock.vn/ILA-ctcp-ila.htm
667,ILB,CTCP ICD Tân Cảng - Long Bình,Kho bãi,HOSE,24502245,https://finance.vietstock.vn/ILB-ctcp-icd-tan-cang-long-binh.htm
668,ILC,CTCP Hợp tác Lao động với nước ngoài,Vận tải đường thủy,UPCoM,6100391,https://finance.vietstock.vn/ILC-ctcp-hop-tac-lao-dong-voi-nuoc-ngoai.htm
669,ILS,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế,Hỗ trợ vận tải,UPCoM,36000000,https://finance.vietstock.vn/ILS-ctcp-dau-tu-thuong-mai-va-dich-vu-quoc-te.htm
670,IME,CTCP Cơ khí và Xây lắp Công nghiệp,"Sản xuất thiết bị, máy móc",UPCoM,3599948,https://finance.vietstock.vn/IME-ctcp-co-khi-va-xay-lap-cong-nghiep.htm
671,IMP,CTCP Dược phẩm Imexpharm,"Sản xuất hóa chất, dược phẩm",HOSE,66705370,https://finance.vietstock.vn/IMP-ctcp-duoc-pham-imexpharm.htm
672,IN4,CTCP In Số 4,In ấn và các hoạt động hỗ trợ,UPCoM,1200000,https://finance.vietstock.vn/IN4-ctcp-in-so-4.htm
673,INC,CTCP Tư vấn Đầu tư IDICO,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",HNX,1800000,https://finance.vietstock.vn/INC-ctcp-tu-van-dau-tu-idico.htm
674,INN,CTCP Bao bì và In Nông nghiệp,Sản xuất giấy,HNX,18000000,https://finance.vietstock.vn/INN-ctcp-bao-bi-va-in-nong-nghiep.htm
675,IPA,CTCP Tập đoàn Đầu tư I.P.A,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HNX,178196496,https://finance.vietstock.vn/IPA-ctcp-tap-doan-dau-tu-i-p-a.htm
676,IRC,CTCP Cao su Công nghiệp,"Sản xuất hóa chất, dược phẩm",UPCoM,17500000,https://finance.vietstock.vn/IRC-ctcp-cao-su-cong-nghiep.htm
677,ISG,CTCP Vận tải biển và Hợp tác Lao động Quốc tế,Vận tải đường thủy,UPCoM,8800000,https://finance.vietstock.vn/ISG-ctcp-van-tai-bien-va-hop-tac-lao-dong-quoc-te.htm
678,ISH,CTCP Thủy điện Srok Phu Miêng IDICO,"Phát, truyền tải và phân phối điện năng",UPCoM,45000000,https://finance.vietstock.vn/ISH-ctcp-thuy-dien-srok-phu-mieng-idico.htm
679,IST,CTCP ICD Tân Cảng Sóng Thần,Kho bãi,UPCoM,12008672,https://finance.vietstock.vn/IST-ctcp-icd-tan-cang-song-than.htm
680,ITA,CTCP Đầu tư và Công nghiệp Tân Tạo,Bất động sản,HOSE,938463607,https://finance.vietstock.vn/ITA-ctcp-dau-tu-va-cong-nghiep-tan-tao.htm
681,ITC,CTCP Đầu tư và Kinh doanh Nhà,Phát triển bất động sản,HOSE,87654427,https://finance.vietstock.vn/ITC-ctcp-dau-tu-va-kinh-doanh-nha.htm
682,ITD,CTCP Công nghệ Tiên Phong,Viễn thông,HOSE,21343654,https://finance.vietstock.vn/ITD-ctcp-cong-nghe-tien-phong.htm
683,ITQ,CTCP Tập đoàn Thiên Quang,Sản xuất sản phẩm kim loại tổng hợp,HNX,23843305,https://finance.vietstock.vn/ITQ-ctcp-tap-doan-thien-quang.htm
684,ITS,CTCP Đầu tư Thương mại và Dịch vụ - Vinacomin,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,25200000,https://finance.vietstock.vn/ITS-ctcp-dau-tu-thuong-mai-va-dich-vu-vinacomin.htm
685,IVS,CTCP Chứng khoán Guotai Junan (Việt Nam),"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HNX,69350000,https://finance.vietstock.vn/IVS-ctcp-chung-khoan-guotai-junan-viet-nam.htm
686,JOS,CTCP Chế biến Thủy sản xuất khẩu Minh Hải,Sản xuất thực phẩm,UPCoM,15322723,https://finance.vietstock.vn/JOS-ctcp-che-bien-thuy-san-xuat-khau-minh-hai.htm
687,JVC,CTCP Thiết bị Y tế Việt Nhật,Bán buôn hàng lâu bền,HOSE,112500171,https://finance.vietstock.vn/JVC-ctcp-thiet-bi-y-te-viet-nhat.htm
688,KAC,CTCP Đầu tư Địa ốc Khang An,Bất động sản,UPCoM,23999999,https://finance.vietstock.vn/KAC-ctcp-dau-tu-dia-oc-khang-an.htm
689,KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,Bất động sản,HOSE,575711167,https://finance.vietstock.vn/KBC-tong-cong-ty-phat-trien-do-thi-kinh-bac-ctcp.htm
690,KCB,CTCP khoáng Sản và Luyện Kim Cao Bằng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,8000000,https://finance.vietstock.vn/KCB-ctcp-khoang-san-va-luyen-kim-cao-bang.htm
691,KCE,CTCP Bê tông Ly tâm Điện Lực Khánh Hòa,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,1500000,https://finance.vietstock.vn/KCE-ctcp-be-tong-ly-tam-dien-luc-khanh-hoa.htm
692,KDC,CTCP Tập đoàn KIDO,Sản xuất thực phẩm,HOSE,279741356,https://finance.vietstock.vn/KDC-ctcp-tap-doan-kido.htm
693,KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,Phát triển bất động sản,HOSE,642937069,https://finance.vietstock.vn/KDH-ctcp-dau-tu-va-kinh-doanh-nha-khang-dien.htm
694,KDM,CTCP Tổng Công ty Phát triển Khu đô thị Dân cư mới,Bán buôn hàng lâu bền,HNX,7100000,https://finance.vietstock.vn/KDM-ctcp-tong-cong-ty-phat-trien-khu-do-thi-dan-cu-moi.htm
695,KGM,CTCP Xuất nhập khẩu Kiên Giang,Sản xuất thực phẩm,UPCoM,25430000,https://finance.vietstock.vn/KGM-ctcp-xuat-nhap-khau-kien-giang.htm
696,KHA,CTCP Đầu tư và Dịch vụ Khánh Hội,Bất động sản,UPCoM,14120309,https://finance.vietstock.vn/KHA-ctcp-dau-tu-va-dich-vu-khanh-hoi.htm
697,KHB,CTCP Khoáng sản Hòa Bình,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,29075499,https://finance.vietstock.vn/KHB-ctcp-khoang-san-hoa-binh.htm
698,KHD,CTCP Khai thác Chế biến Khoáng sản Hải Dương,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,3262818,https://finance.vietstock.vn/KHD-ctcp-khai-thac-che-bien-khoang-san-hai-duong.htm
699,KHG,CTCP Tập đoàn Khải Hoàn Land,Bất động sản,HOSE,443156205,https://finance.vietstock.vn/KHG-ctcp-tap-doan-khai-hoan-land.htm
700,KHL,CTCP khoáng Sản và Vật liệu Xây dựng Hưng Long,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,12000000,https://finance.vietstock.vn/KHL-ctcp-khoang-san-va-vat-lieu-xay-dung-hung-long.htm
701,KHP,CTCP Điện lực Khánh Hòa,"Phát, truyền tải và phân phối điện năng",HOSE,58971442,https://finance.vietstock.vn/KHP-ctcp-dien-luc-khanh-hoa.htm
702,KHS,CTCP Kiên Hùng,Sản xuất thực phẩm,HNX,12090969,https://finance.vietstock.vn/KHS-ctcp-kien-hung.htm
703,KHW,CTCP Cấp thoát nước Khánh Hòa,"Nước, chất thải và các hệ thống khác",UPCoM,26000000,https://finance.vietstock.vn/KHW-ctcp-cap-thoat-nuoc-khanh-hoa.htm
704,KIP,CTCP K.I.P Việt Nam,"Sản xuất trang thiết bị, dụng cụ điện",UPCoM,9800000,https://finance.vietstock.vn/KIP-ctcp-k-i-p-viet-nam.htm
705,KKC,CTCP Tập Đoàn Thành Thái,Sản xuất các sản phẩm kim loại cơ bản,HNX,5200000,https://finance.vietstock.vn/KKC-ctcp-tap-doan-thanh-thai.htm
706,KLB,Ngân hàng TMCP Kiên Long,Trung gian tín dụng và các hoạt động liên quan,UPCoM,365281878,https://finance.vietstock.vn/KLB-ngan-hang-tmcp-kien-long.htm
707,KLF,CTCP Đầu tư Thương mại và Xuất nhập khẩu CFS,"Chợ, đại lý và môi giới bán buôn điện tử",HNX,165352561,https://finance.vietstock.vn/KLF-ctcp-dau-tu-thuong-mai-va-xuat-nhap-khau-cfs.htm
708,KLM,CTCP Kim loại màu Nghệ Tĩnh,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,3885000,https://finance.vietstock.vn/KLM-ctcp-kim-loai-mau-nghe-tinh.htm
709,KMR,CTCP Mirae,Sản xuất các sản phẩm dệt,HOSE,56881443,https://finance.vietstock.vn/KMR-ctcp-mirae.htm
710,KMT,CTCP Kim khí Miền Trung,Bán buôn hàng lâu bền,HNX,9846562,https://finance.vietstock.vn/KMT-ctcp-kim-khi-mien-trung.htm
711,KOS,CTCP KOSY,Bất động sản,HOSE,216481335,https://finance.vietstock.vn/KOS-ctcp-kosy.htm
712,KPF,CTCP Đầu tư Tài chính Hoàng Minh,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",HOSE,60867241,https://finance.vietstock.vn/KPF-ctcp-dau-tu-tai-chinh-hoang-minh.htm
713,KSB,CTCP Khoáng sản và Xây dựng Bình Dương,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,76631202,https://finance.vietstock.vn/KSB-ctcp-khoang-san-va-xay-dung-binh-duong.htm
714,KSD,CTCP Đầu tư DNA,"Sản xuất trang thiết bị, dụng cụ điện",HNX,12000000,https://finance.vietstock.vn/KSD-ctcp-dau-tu-dna.htm
715,KSF,CTCP Tập đoàn KSFinance,Phát triển bất động sản,HNX,300000000,https://finance.vietstock.vn/KSF-ctcp-tap-doan-ksfinance.htm
716,KSH,CTCP DAMAC GLS,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,57509675,https://finance.vietstock.vn/KSH-ctcp-damac-gls.htm
717,KSQ,CTCP CNC Capital Việt Nam,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,30000000,https://finance.vietstock.vn/KSQ-ctcp-cnc-capital-viet-nam.htm
718,KST,CTCP KASATI,Viễn thông,HNX,5992020,https://finance.vietstock.vn/KST-ctcp-kasati.htm
719,KSV,Tổng Công ty Khoáng sản TKV - CTCP,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,200000000,https://finance.vietstock.vn/KSV-tong-cong-ty-khoang-san-tkv-ctcp.htm
720,KTC,CTCP Thương mại Kiên Giang,Sản xuất thực phẩm,UPCoM,36473833,https://finance.vietstock.vn/KTC-ctcp-thuong-mai-kien-giang.htm
721,KTL,CTCP Kim Khí Thăng Long,Sản xuất phương tiện vận tải,UPCoM,6519500,https://finance.vietstock.vn/KTL-ctcp-kim-khi-thang-long.htm
722,KTS,CTCP Đường Kon Tum,Sản xuất thực phẩm,HNX,5070000,https://finance.vietstock.vn/KTS-ctcp-duong-kon-tum.htm
723,KTT,CTCP Tập đoàn Đầu tư KTT,Xây dựng công nghiệp nặng và dân dụng,HNX,2955000,https://finance.vietstock.vn/KTT-ctcp-tap-doan-dau-tu-ktt.htm
724,KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ,Sản xuất sản phẩm kim loại tổng hợp,HNX,49500000,https://finance.vietstock.vn/KVC-ctcp-san-xuat-xuat-nhap-khau-inox-kim-vi.htm
725,L10,CTCP Lilama 10,Nhà thầu chuyên môn,HOSE,9890000,https://finance.vietstock.vn/L10-ctcp-lilama-10.htm
726,L12,CTCP Licogi 12,Xây dựng công nghiệp nặng và dân dụng,UPCoM,7000000,https://finance.vietstock.vn/L12-ctcp-licogi-12.htm
727,L14,CTCP Licogi 14,Phát triển bất động sản,HNX,26784841,https://finance.vietstock.vn/L14-ctcp-licogi-14.htm
728,L18,CTCP Đầu tư và Xây dựng Số 18,Xây dựng công nghiệp nặng và dân dụng,HNX,38116528,https://finance.vietstock.vn/L18-ctcp-dau-tu-va-xay-dung-so-18.htm
729,L35,CTCP Cơ khí Lắp máy Lilama,Xây dựng công nghiệp nặng và dân dụng,HNX,3265155,https://finance.vietstock.vn/L35-ctcp-co-khi-lap-may-lilama.htm
730,L40,CTCP Đầu Tư và Xây dựng 40,Xây dựng công nghiệp nặng và dân dụng,HNX,3600000,https://finance.vietstock.vn/L40-ctcp-dau-tu-va-xay-dung-40.htm
731,L43,CTCP Lilama 45.3,Nhà thầu chuyên môn,HNX,3500000,https://finance.vietstock.vn/L43-ctcp-lilama-45-3.htm
732,L44,CTCP Lilama 45.4,Nhà thầu chuyên môn,UPCoM,4000000,https://finance.vietstock.vn/L44-ctcp-lilama-45-4.htm
733,L45,CTCP Lilama 45.1,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,UPCoM,4800000,https://finance.vietstock.vn/L45-ctcp-lilama-45-1.htm
734,L61,CTCP Lilama 69-1,Nhà thầu chuyên môn,HNX,7576200,https://finance.vietstock.vn/L61-ctcp-lilama-69-1.htm
735,L62,CTCP Lilama 69-2,Nhà thầu chuyên môn,HNX,8298243,https://finance.vietstock.vn/L62-ctcp-lilama-69-2.htm
736,L63,CTCP Lilama 69-3,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,UPCoM,8279361,https://finance.vietstock.vn/L63-ctcp-lilama-69-3.htm
737,LAF,CTCP Chế biến hàng Xuất khẩu Long An,Sản xuất thực phẩm,HOSE,14728019,https://finance.vietstock.vn/LAF-ctcp-che-bien-hang-xuat-khau-long-an.htm
738,LAI,CTCP Đầu Tư Xây dựng Long An IDICO,Bất động sản,UPCoM,8550000,https://finance.vietstock.vn/LAI-ctcp-dau-tu-xay-dung-long-an-idico.htm
739,LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao,"Sản xuất hóa chất, dược phẩm",HNX,112856400,https://finance.vietstock.vn/LAS-ctcp-supe-phot-phat-va-hoa-chat-lam-thao.htm
740,LAW,CTCP Cấp thoát nước Long An,"Nước, chất thải và các hệ thống khác",UPCoM,12200000,https://finance.vietstock.vn/LAW-ctcp-cap-thoat-nuoc-long-an.htm
741,LBC,CTCP Thương mại - Đầu tư Long Biên,Của hàng hàng hóa tổng hợp,UPCoM,1500000,https://finance.vietstock.vn/LBC-ctcp-thuong-mai-dau-tu-long-bien.htm
742,LBE,CTCP Sách và Thiết bị Trường học Long An,Công nghiệp xuất bản - Ngoại trừ internet,HNX,1100000,https://finance.vietstock.vn/LBE-ctcp-sach-va-thiet-bi-truong-hoc-long-an.htm
743,LBM,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng,Sản xuất sản phẩm khoáng chất phi kim,HOSE,10000000,https://finance.vietstock.vn/LBM-ctcp-khoang-san-va-vat-lieu-xay-dung-lam-dong.htm
744,LCC,CTCP Xi măng Hồng Phong,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,5838999,https://finance.vietstock.vn/LCC-ctcp-xi-mang-hong-phong.htm
745,LCD,CTCP Lắp máy - Thí nghiệm Cơ điện,Nhà thầu chuyên môn,HNX,1474000,https://finance.vietstock.vn/LCD-ctcp-lap-may-thi-nghiem-co-dien.htm
746,LCG,CTCP Lizen,Xây dựng công nghiệp nặng và dân dụng,HOSE,174404824,https://finance.vietstock.vn/LCG-ctcp-lizen.htm
747,LCM,CTCP Khai thác và Chế biến khoáng sản Lào Cai,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,24633000,https://finance.vietstock.vn/LCM-ctcp-khai-thac-va-che-bien-khoang-san-lao-cai.htm
748,LCS,CTCP Licogi 166,Xây dựng công nghiệp nặng và dân dụng,HNX,7600000,https://finance.vietstock.vn/LCS-ctcp-licogi-166.htm
749,LCW,CTCP Nước sạch Lai Châu,"Nước, chất thải và các hệ thống khác",UPCoM,21586514,https://finance.vietstock.vn/LCW-ctcp-nuoc-sach-lai-chau.htm
750,LDG,CTCP Đầu tư LDG,Bất động sản,HOSE,240212451,https://finance.vietstock.vn/LDG-ctcp-dau-tu-ldg.htm
751,LDP,CTCP Dược Lâm Đồng (Ladophar),"Sản xuất hóa chất, dược phẩm",HNX,12703167,https://finance.vietstock.vn/LDP-ctcp-duoc-lam-dong-ladophar.htm
752,LDW,CTCP Cấp thoát nước Lâm Đồng,"Nước, chất thải và các hệ thống khác",UPCoM,78800000,https://finance.vietstock.vn/LDW-ctcp-cap-thoat-nuoc-lam-dong.htm
753,LEC,CTCP Bất động sản Điện lực Miền Trung,"Xây dựng nhà cửa, cao ốc",HOSE,26100000,https://finance.vietstock.vn/LEC-ctcp-bat-dong-san-dien-luc-mien-trung.htm
754,LG9,CTCP Cơ giới và Xây lắp Số 9,Xây dựng công nghiệp nặng và dân dụng,UPCoM,5026600,https://finance.vietstock.vn/LG9-ctcp-co-gioi-va-xay-lap-so-9.htm
755,LGC,CTCP Đầu tư Cầu đường CII,Xây dựng công nghiệp nặng và dân dụng,HOSE,192854765,https://finance.vietstock.vn/LGC-ctcp-dau-tu-cau-duong-cii.htm
756,LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang,Bất động sản,HOSE,51500000,https://finance.vietstock.vn/LGL-ctcp-dau-tu-va-phat-trien-do-thi-long-giang.htm
757,LGM,CTCP Giày da và May mặc Xuất khẩu,Sản xuất các sản phẩm may mặc,UPCoM,7400000,https://finance.vietstock.vn/LGM-ctcp-giay-da-va-may-mac-xuat-khau.htm
758,LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Xây dựng công nghiệp nặng và dân dụng,HNX,7200000,https://finance.vietstock.vn/LHC-ctcp-dau-tu-va-xay-dung-thuy-loi-lam-dong.htm
759,LHG,CTCP Long Hậu,Bất động sản,HOSE,50012010,https://finance.vietstock.vn/LHG-ctcp-long-hau.htm
760,LIC,Tổng Công ty LICOGI - CTCP,"Xây dựng nhà cửa, cao ốc",UPCoM,90000000,https://finance.vietstock.vn/LIC-tong-cong-ty-licogi-ctcp.htm
761,LIG,CTCP Licogi 13,Xây dựng công nghiệp nặng và dân dụng,HNX,64898032,https://finance.vietstock.vn/LIG-ctcp-licogi-13.htm
762,LIX,CTCP Bột Giặt Lix,"Sản xuất hóa chất, dược phẩm",HOSE,32400000,https://finance.vietstock.vn/LIX-ctcp-bot-giat-lix.htm
763,LKW,CTCP Cấp nước Long Khánh,"Nước, chất thải và các hệ thống khác",UPCoM,2500000,https://finance.vietstock.vn/LKW-ctcp-cap-nuoc-long-khanh.htm
764,LLM,Tổng Công ty Lắp máy Việt Nam - CTCP,Xây dựng công nghiệp nặng và dân dụng,UPCoM,79726104,https://finance.vietstock.vn/LLM-tong-cong-ty-lap-may-viet-nam-ctcp.htm
765,LM3,CTCP Lilama 3,Xây dựng công nghiệp nặng và dân dụng,UPCoM,5150000,https://finance.vietstock.vn/LM3-ctcp-lilama-3.htm
766,LM7,CTCP Lilama 7,Nhà thầu chuyên môn,HNX,4957000,https://finance.vietstock.vn/LM7-ctcp-lilama-7.htm
767,LM8,CTCP Lilama 18,Nhà thầu chuyên môn,HOSE,9388682,https://finance.vietstock.vn/LM8-ctcp-lilama-18.htm
768,LMC,CTCP Khoáng sản Latca,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,1500000,https://finance.vietstock.vn/LMC-ctcp-khoang-san-latca.htm
769,LMH,CTCP Quốc Tế Holding,Bán buôn hàng tiêu dùng,UPCoM,25629995,https://finance.vietstock.vn/LMH-ctcp-quoc-te-holding.htm
770,LMI,CTCP Đầu tư Xây dựng Lắp máy IDICO,Nhà thầu chuyên môn,UPCoM,5500000,https://finance.vietstock.vn/LMI-ctcp-dau-tu-xay-dung-lap-may-idico.htm
771,LNC,CTCP Lệ Ninh,Trồng trọt,UPCoM,8230067,https://finance.vietstock.vn/LNC-ctcp-le-ninh.htm
772,LO5,CTCP Lilama 5,Nhà thầu chuyên môn,UPCoM,5149791,https://finance.vietstock.vn/LO5-ctcp-lilama-5.htm
773,LPB,Ngân hàng TMCP Bưu điện Liên Việt,Trung gian tín dụng và các hoạt động liên quan,HOSE,1238586323,https://finance.vietstock.vn/LPB-ngan-hang-tmcp-buu-dien-lien-viet.htm
774,LPT,CTCP Thương mại và Sản xuất Lập Phương Thành,Bán buôn hàng lâu bền,UPCoM,8000000,https://finance.vietstock.vn/LPT-ctcp-thuong-mai-va-san-xuat-lap-phuong-thanh.htm
775,LQN,CTCP Licogi Quảng Ngãi,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,1893540,https://finance.vietstock.vn/LQN-ctcp-licogi-quang-ngai.htm
776,LSG,CTCP Bất động sản Sài Gòn Vina,Phát triển bất động sản,UPCoM,90000000,https://finance.vietstock.vn/LSG-ctcp-bat-dong-san-sai-gon-vina.htm
777,LSS,CTCP Mía Đường Lam Sơn,Sản xuất thực phẩm,HOSE,70000000,https://finance.vietstock.vn/LSS-ctcp-mia-duong-lam-son.htm
778,LTC,CTCP Điện nhẹ Viễn Thông,Xây dựng công nghiệp nặng và dân dụng,UPCoM,4586000,https://finance.vietstock.vn/LTC-ctcp-dien-nhe-vien-thong.htm
779,LTG,CTCP Tập đoàn Lộc Trời,"Sản xuất hóa chất, dược phẩm",UPCoM,80593340,https://finance.vietstock.vn/LTG-ctcp-tap-doan-loc-troi.htm
780,LUT,CTCP Đầu tư Xây dựng Lương Tài,Xây dựng công nghiệp nặng và dân dụng,HNX,15000000,https://finance.vietstock.vn/LUT-ctcp-dau-tu-xay-dung-luong-tai.htm
781,LWS,CTCP Cấp nước Tỉnh Lào Cai,"Nước, chất thải và các hệ thống khác",UPCoM,17717665,https://finance.vietstock.vn/LWS-ctcp-cap-nuoc-tinh-lao-cai.htm
782,LYF,CTCP Lương thực Lương Yên,Sản xuất thực phẩm,UPCoM,300,https://finance.vietstock.vn/LYF-ctcp-luong-thuc-luong-yen.htm
783,M10,Tổng Công ty May 10 - CTCP,Sản xuất các sản phẩm may mặc,UPCoM,30240000,https://finance.vietstock.vn/M10-tong-cong-ty-may-10-ctcp.htm
784,MA1,CTCP Thiết bị,Bất động sản,UPCoM,5289715,https://finance.vietstock.vn/MA1-ctcp-thiet-bi.htm
785,MAC,CTCP Cung ứng và Dịch vụ Kỹ thuật Hàng Hải,Hỗ trợ vận tải,HNX,15139745,https://finance.vietstock.vn/MAC-ctcp-cung-ung-va-dich-vu-ky-thuat-hang-hai.htm
786,MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng,Hỗ trợ vận tải,HNX,4267683,https://finance.vietstock.vn/MAS-ctcp-dich-vu-hang-khong-san-bay-da-nang.htm
787,MBB,Ngân hàng TMCP Quân Đội,Trung gian tín dụng và các hoạt động liên quan,HOSE,3778321777,https://finance.vietstock.vn/MBB-ngan-hang-tmcp-quan-doi.htm
788,MBG,CTCP Tập đoàn MBG,"Sản xuất trang thiết bị, dụng cụ điện",HNX,72355278,https://finance.vietstock.vn/MBG-ctcp-tap-doan-mbg.htm
789,MBN,CTCP Môi trường và Công trình đô thị Bắc Ninh,Dịch vụ quản lý và tái chế chất thải,UPCoM,5750000,https://finance.vietstock.vn/MBN-ctcp-moi-truong-va-cong-trinh-do-thi-bac-ninh.htm
790,MBS,CTCP Chứng khoán MB,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HNX,267618324,https://finance.vietstock.vn/MBS-ctcp-chung-khoan-mb.htm
791,MC3,CTCP Khoáng sản 3 - Vimico,Các hoạt động hỗ trợ Khai khoáng,UPCoM,3500000,https://finance.vietstock.vn/MC3-ctcp-khoang-san-3-vimico.htm
792,MCC,CTCP Gạch ngói Cao cấp,Sản xuất sản phẩm khoáng chất phi kim,HNX,5016124,https://finance.vietstock.vn/MCC-ctcp-gach-ngoi-cao-cap.htm
793,MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm,Bán buôn hàng tiêu dùng,HNX,10777838,https://finance.vietstock.vn/MCF-ctcp-xay-lap-co-khi-va-luong-thuc-thuc-pham.htm
794,MCG,CTCP Năng lượng và Bất động sản MCG,"Sản xuất thiết bị, máy móc",HOSE,57510000,https://finance.vietstock.vn/MCG-ctcp-nang-luong-va-bat-dong-san-mcg.htm
795,MCH,CTCP Hàng tiêu dùng Masan,Sản xuất thực phẩm,UPCoM,726793818,https://finance.vietstock.vn/MCH-ctcp-hang-tieu-dung-masan.htm
796,MCI,CTCP Đầu tư Xây dựng và Phát triển Vật liệu IDICO,Xây dựng công nghiệp nặng và dân dụng,UPCoM,3500000,https://finance.vietstock.vn/MCI-ctcp-dau-tu-xay-dung-va-phat-trien-vat-lieu-idico.htm
797,MCM,CTCP Giống Bò sữa Mộc Châu,Sản xuất thực phẩm,UPCoM,110000000,https://finance.vietstock.vn/MCM-ctcp-giong-bo-sua-moc-chau.htm
798,MCO,CTCP Đầu tư và Xây dựng BDC Việt Nam,Xây dựng công nghiệp nặng và dân dụng,HNX,4103929,https://finance.vietstock.vn/MCO-ctcp-dau-tu-va-xay-dung-bdc-viet-nam.htm
799,MCP,CTCP In và Bao bì Mỹ Châu,Sản xuất sản phẩm kim loại tổng hợp,HOSE,15071337,https://finance.vietstock.vn/MCP-ctcp-in-va-bao-bi-my-chau.htm
800,MDA,CTCP Môi trường Đô thị Đông Anh,Dịch vụ quản lý và tái chế chất thải,UPCoM,1200000,https://finance.vietstock.vn/MDA-ctcp-moi-truong-do-thi-dong-anh.htm
801,MDC,CTCP Than Mông Dương - Vinacomin,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,21418346,https://finance.vietstock.vn/MDC-ctcp-than-mong-duong-vinacomin.htm
802,MDF,CTCP Gỗ MDF VRG - Quảng Trị,Sản xuất các sản phẩm gỗ,UPCoM,55113595,https://finance.vietstock.vn/MDF-ctcp-go-mdf-vrg-quang-tri.htm
803,MDG,CTCP Miền Đông,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,10889031,https://finance.vietstock.vn/MDG-ctcp-mien-dong.htm
804,MEC,CTCP Cơ khí - Lắp máy Sông Đà,Nhà thầu chuyên môn,UPCoM,8353620,https://finance.vietstock.vn/MEC-ctcp-co-khi-lap-may-song-da.htm
805,MED,CTCP Dược Trung ương Mediplantex,"Sản xuất hóa chất, dược phẩm",HNX,6280095,https://finance.vietstock.vn/MED-ctcp-duoc-trung-uong-mediplantex.htm
806,MEF,CTCP MEINFA,Sản xuất sản phẩm kim loại tổng hợp,UPCoM,3940522,https://finance.vietstock.vn/MEF-ctcp-meinfa.htm
807,MEG,CTCP Megram,"Sản xuất trang thiết bị, dụng cụ điện",UPCoM,44000000,https://finance.vietstock.vn/MEG-ctcp-megram.htm
808,MEL,CTCP Thép Mê Lin,Bán buôn hàng lâu bền,HNX,15000000,https://finance.vietstock.vn/MEL-ctcp-thep-me-lin.htm
809,MES,CTCP Cơ điện Công trình,Xây dựng công nghiệp nặng và dân dụng,UPCoM,18600000,https://finance.vietstock.vn/MES-ctcp-co-dien-cong-trinh.htm
810,MFS,CTCP Dịch vụ Kỹ thuật Mobifone,Các dịch vụ thông tin khác,UPCoM,7062979,https://finance.vietstock.vn/MFS-ctcp-dich-vu-ky-thuat-mobifone.htm
811,MGC,CTCP Địa chất mỏ - TKV,Các hoạt động hỗ trợ Khai khoáng,UPCoM,10800000,https://finance.vietstock.vn/MGC-ctcp-dia-chat-mo-tkv.htm
812,MGG,Tổng Công ty Đức Giang - CTCP,Sản xuất các sản phẩm may mặc,UPCoM,8999622,https://finance.vietstock.vn/MGG-tong-cong-ty-duc-giang-ctcp.htm
